task_id,order_id,warehouse_id,order_lat,order_lon,pickup_ready_at,created_at,delivery_deadline_at,total_mass_kg
1,1,1,55.864511,37.574076,2026-06-07T00:59:54.755712+03:00,2026-06-07T00:45:12.307619+03:00,2026-06-07T01:27:17.107915+03:00,6.4
1,2,1,55.883686,37.580375,2026-06-07T03:12:06.253890+03:00,2026-06-07T02:57:58.983098+03:00,2026-06-07T03:38:11.204869+03:00,6.67
1,3,1,55.892686,37.587809,2026-06-07T04:29:57.990290+03:00,2026-06-07T04:26:12.041866+03:00,2026-06-07T04:58:04.226864+03:00,5.24
1,4,1,55.896323,37.566685,2026-06-07T07:59:39.150310+03:00,2026-06-07T07:45:56.103103+03:00,2026-06-07T08:27:12.883418+03:00,1.96
1,5,1,55.885658,37.603307,2026-06-07T01:25:15.332618+03:00,2026-06-07T01:14:03.537372+03:00,2026-06-07T01:52:26.875641+03:00,7.76
1,6,1,55.888136,37.576287,2026-06-07T03:50:39.626744+03:00,2026-06-07T03:45:23.207365+03:00,2026-06-07T04:11:05.374938+03:00,4.07
1,7,1,55.878326,37.580872,2026-06-07T03:42:49.503565+03:00,2026-06-07T03:29:49.975264+03:00,2026-06-07T04:09:31.678532+03:00,2.84
1,8,1,55.865155,37.596545,2026-06-07T03:12:26.973551+03:00,2026-06-07T03:05:59.377316+03:00,2026-06-07T03:38:57.420584+03:00,1.55
1,9,1,55.883009,37.59329,2026-06-07T06:28:42.114689+03:00,2026-06-07T06:17:43.422072+03:00,2026-06-07T06:55:27.523839+03:00,6.36
1,10,1,55.878474,37.568535,2026-06-07T01:11:28.615199+03:00,2026-06-07T01:07:06.153546+03:00,2026-06-07T01:37:49.761154+03:00,4.03
1,11,1,55.870127,37.587407,2026-06-07T05:14:18.464784+03:00,2026-06-07T05:04:39.887616+03:00,2026-06-07T05:39:27.541510+03:00,2.78
1,12,1,55.88307,37.58413,2026-06-07T01:50:54.179200+03:00,2026-06-07T01:43:00.038577+03:00,2026-06-07T02:19:17.425228+03:00,2.25
1,13,1,55.884089,37.584812,2026-06-07T02:31:52.080115+03:00,2026-06-07T02:20:55.500224+03:00,2026-06-07T02:56:59.721336+03:00,6.38
1,14,1,55.891103,37.563078,2026-06-07T06:35:44.007580+03:00,2026-06-07T06:30:43.787078+03:00,2026-06-07T06:54:58.997548+03:00,1.18
1,15,1,55.886661,37.557093,2026-06-07T01:26:25.379474+03:00,2026-06-07T01:17:24.627236+03:00,2026-06-07T01:47:05.905462+03:00,5.72
1,16,1,55.889633,37.572133,2026-06-07T02:35:17.351634+03:00,2026-06-07T02:24:43.548167+03:00,2026-06-07T02:58:16.147957+03:00,1.16
1,17,1,55.882171,37.589874,2026-06-07T07:27:30.913028+03:00,2026-06-07T07:16:07.123892+03:00,2026-06-07T07:49:26.387203+03:00,7.77
1,18,1,55.86564,37.578812,2026-06-07T03:41:57.625187+03:00,2026-06-07T03:35:41.611262+03:00,2026-06-07T04:02:01.243222+03:00,7.27
1,19,1,55.89261,37.590667,2026-06-07T02:36:48.588866+03:00,2026-06-07T02:26:51.550776+03:00,2026-06-07T02:57:45.258903+03:00,6.92
1,20,1,55.866031,37.579463,2026-06-07T03:37:55.941911+03:00,2026-06-07T03:27:24.279546+03:00,2026-06-07T04:03:21.446570+03:00,5.37
1,21,1,55.883761,37.582344,2026-06-07T00:28:54.161597+03:00,2026-06-07T00:19:58.488207+03:00,2026-06-07T00:51:31.869997+03:00,1.58
1,22,1,55.881582,37.581733,2026-06-07T01:35:59.163979+03:00,2026-06-07T01:21:53.077494+03:00,2026-06-07T02:01:22.664331+03:00,3.1
