task_id,warehouse_id,clusterization_id,cluster_id,order_id,transport_type
1,1,1,1,1,car
1,1,1,1,2,car
1,1,1,1,4,car
1,1,1,1,3,car
1,1,1,1,7,car
1,1,1,2,5,car
1,1,1,2,6,car
1,1,1,2,8,car
1,2,1,3,11,car
1,2,1,3,13,car
1,2,1,3,9,car
1,2,1,3,15,car
1,2,1,3,16,car
1,2,1,4,10,car
1,2,1,4,14,car
1,2,1,4,12,car
1,3,1,5,17,car
1,3,1,5,22,car
1,3,1,5,18,car
1,3,1,5,23,car
1,3,1,6,19,car
1,3,1,6,20,car
1,3,1,6,21,car
1,4,1,7,24,car
1,4,1,7,26,car
1,4,1,8,27,car
1,4,1,8,25,car
1,4,1,8,28,car
1,4,1,8,29,car
1,4,1,8,30,car
1,5,1,9,31,car
1,5,1,9,34,car
1,5,1,9,37,car
1,5,1,9,38,car
1,5,1,9,39,car
1,5,1,10,32,car
1,5,1,10,33,car
1,5,1,10,35,car
1,5,1,10,40,car
1,5,1,10,36,car
1,6,1,11,41,car
1,6,1,11,45,car
1,6,1,11,43,car
1,6,1,11,46,car
1,6,1,12,44,car
1,6,1,12,42,car
1,6,1,12,47,car
2,1,1,1,1,car
2,1,1,1,4,car
2,1,1,1,8,car
2,1,1,1,5,car
2,1,1,1,9,car
2,1,1,2,3,car
2,1,1,2,2,car
2,1,1,2,6,car
2,1,1,2,7,car
2,2,1,3,10,car
2,2,1,3,11,car
2,2,1,3,13,car
2,2,1,3,14,car
2,2,1,3,15,car
2,2,1,4,12,car
2,2,1,4,16,car
2,3,1,5,17,car
2,3,1,5,19,car
2,3,1,5,23,car
2,3,1,5,22,car
2,3,1,6,24,car
2,3,1,6,18,car
2,3,1,6,25,car
2,3,1,6,20,car
2,3,1,6,21,car
2,4,1,7,26,car
2,4,1,7,27,car
2,4,1,8,28,car
2,4,1,8,29,car
2,4,1,8,30,car
2,4,1,8,32,car
2,4,1,8,31,car
2,5,1,9,35,car
2,5,1,9,34,car
2,5,1,9,33,car
2,5,1,9,39,car
2,5,1,9,41,car
2,5,1,10,36,car
2,5,1,10,37,car
2,5,1,10,38,car
2,5,1,10,40,car
3,1,1,1,2,car
3,1,1,1,1,car
3,1,1,1,7,car
3,1,1,1,8,car
3,1,1,1,9,car
3,1,1,2,5,car
3,1,1,2,3,car
3,1,1,2,6,car
3,1,1,2,4,car
3,2,1,3,13,car
3,2,1,3,10,car
3,2,1,3,12,car
3,2,1,3,15,car
3,2,1,3,17,car
3,2,1,4,11,car
3,2,1,4,18,car
3,2,1,4,14,car
3,2,1,4,16,car
3,3,1,5,19,car
3,3,1,5,21,car
3,3,1,5,26,car
3,3,1,5,20,car
3,3,1,5,28,car
3,3,1,6,24,car
3,3,1,6,22,car
3,3,1,6,23,car
3,3,1,6,25,car
3,3,1,6,27,car
3,4,1,7,30,car
3,4,1,7,36,car
3,4,1,7,29,car
3,4,1,7,31,car
3,4,1,7,37,car
3,4,1,8,33,car
3,4,1,8,34,car
3,4,1,8,35,car
3,4,1,8,32,car
3,4,1,8,38,car
3,5,1,9,41,car
3,5,1,9,45,car
3,5,1,9,46,car
3,5,1,9,39,car
3,5,1,9,42,car
3,5,1,10,40,car
3,5,1,10,43,car
3,5,1,10,44,car
4,1,1,1,1,car
4,1,1,1,2,car
4,1,1,1,7,car
4,1,1,1,6,car
4,1,1,1,5,car
4,1,1,2,3,car
4,1,1,2,4,car
4,2,1,3,8,car
4,2,1,3,9,car
4,2,1,3,15,car
4,2,1,3,11,car
4,2,1,3,14,car
4,2,1,4,10,car
4,2,1,4,13,car
4,2,1,4,12,car
4,2,1,4,17,car
4,2,1,4,16,car
4,3,1,5,21,car
4,3,1,5,18,car
4,3,1,5,23,car
4,3,1,5,20,car
4,3,1,5,22,car
4,3,1,6,25,car
4,3,1,6,26,car
4,3,1,6,19,car
4,3,1,6,24,car
4,3,1,6,27,car
4,4,1,7,30,car
4,4,1,7,32,car
4,4,1,7,28,car
4,4,1,7,33,car
4,4,1,7,35,car
4,4,1,8,29,car
4,4,1,8,31,car
4,4,1,8,34,car
4,5,1,9,36,car
4,5,1,9,39,car
4,5,1,9,40,car
4,5,1,9,43,car
4,5,1,9,38,car
4,5,1,10,37,car
4,5,1,10,42,car
4,5,1,10,41,car
4,6,1,11,46,car
4,6,1,11,44,car
4,6,1,11,50,car
4,6,1,12,47,car
4,6,1,12,45,car
4,6,1,12,49,car
4,6,1,12,48,car
5,1,1,1,3,car
5,1,1,1,1,car
5,1,1,1,6,car
5,1,1,1,7,car
5,1,1,2,4,car
5,1,1,2,5,car
5,1,1,2,2,car
5,1,1,2,8,car
5,2,1,3,9,car
5,2,1,3,13,car
5,2,1,3,14,car
5,2,1,4,12,car
5,2,1,4,10,car
5,2,1,4,11,car
5,2,1,4,15,car
5,2,1,4,16,car
5,3,1,5,17,car
5,3,1,5,25,car
5,3,1,5,26,car
5,3,1,5,24,car
5,3,1,5,18,car
5,3,1,6,20,car
5,3,1,6,19,car
5,3,1,6,21,car
5,3,1,6,22,car
5,3,1,6,23,car
5,4,1,7,27,car
5,4,1,7,28,car
5,4,1,7,29,car
5,4,1,7,32,car
5,4,1,7,33,car
5,4,1,8,30,car
5,4,1,8,31,car
6,1,1,1,9,car
6,1,1,1,2,car
6,1,1,1,1,car
6,1,1,1,10,car
6,1,1,1,3,car
6,1,1,2,6,car
6,1,1,2,4,car
6,1,1,2,7,car
6,1,1,2,8,car
6,1,1,2,5,car
6,2,1,3,11,car
6,2,1,3,12,car
6,2,1,3,16,car
6,2,1,3,19,car
6,2,1,4,13,car
6,2,1,4,14,car
6,2,1,4,15,car
6,2,1,4,17,car
6,2,1,4,18,car
6,3,1,5,22,car
6,3,1,5,23,car
6,3,1,5,20,car
6,3,1,5,21,car
6,3,1,5,25,car
6,3,1,6,24,car
6,3,1,6,27,car
6,3,1,6,26,car
6,4,1,7,28,car
6,4,1,7,29,car
6,4,1,7,32,car
6,4,1,7,33,car
6,4,1,7,35,car
6,4,1,8,30,car
6,4,1,8,31,car
6,4,1,8,34,car
6,4,1,8,36,car
6,5,1,9,37,car
6,5,1,9,40,car
6,5,1,9,44,car
6,5,1,10,39,car
6,5,1,10,41,car
6,5,1,10,42,car
6,5,1,10,38,car
6,5,1,10,43,car
6,6,1,11,45,car
6,6,1,11,48,car
6,6,1,11,49,car
6,6,1,11,51,car
6,6,1,12,46,car
6,6,1,12,50,car
6,6,1,12,47,car
6,6,1,12,52,car
7,1,1,1,3,car
7,1,1,1,1,car
7,1,1,1,4,car
7,1,1,1,6,car
7,1,1,2,2,car
7,1,1,2,5,car
7,1,1,2,7,car
7,2,1,3,8,car
7,2,1,3,9,car
7,2,1,3,15,car
7,2,1,3,13,car
7,2,1,4,10,car
7,2,1,4,11,car
7,2,1,4,16,car
7,2,1,4,12,car
7,2,1,4,14,car
7,3,1,5,17,car
7,3,1,5,18,car
7,3,1,5,22,car
7,3,1,5,19,car
7,3,1,5,23,car
7,3,1,6,20,car
7,3,1,6,21,car
7,3,1,6,24,car
7,4,1,7,25,car
7,4,1,7,27,car
7,4,1,7,29,car
7,4,1,7,30,car
7,4,1,7,28,car
7,4,1,8,26,car
7,4,1,8,31,car
7,5,1,9,32,car
7,5,1,9,38,car
7,5,1,10,33,car
7,5,1,10,34,car
7,5,1,10,36,car
7,5,1,10,35,car
7,5,1,10,37,car
8,1,1,1,1,car
8,1,1,1,2,car
8,1,1,1,5,car
8,1,1,2,3,car
8,1,1,2,7,car
8,1,1,2,4,car
8,1,1,2,8,car
8,1,1,2,6,car
8,2,1,3,9,car
8,2,1,3,14,car
8,2,1,3,12,car
8,2,1,3,16,car
8,2,1,4,10,car
8,2,1,4,11,car
8,2,1,4,13,car
8,2,1,4,15,car
8,3,1,5,17,car
8,3,1,5,23,car
8,3,1,5,19,car
8,3,1,5,24,car
8,3,1,5,22,car
8,3,1,6,20,car
8,3,1,6,18,car
8,3,1,6,21,car
8,3,1,6,25,car
8,3,1,6,26,car
8,4,1,7,27,car
8,4,1,7,30,car
8,4,1,7,31,car
8,4,1,8,28,car
8,4,1,8,29,car
8,4,1,8,33,car
8,4,1,8,34,car
8,4,1,8,32,car
9,1,1,1,1,car
9,1,1,1,4,car
9,1,1,1,3,car
9,1,1,1,2,car
9,1,1,1,6,car
9,1,1,2,5,car
9,1,1,2,7,car
9,2,1,3,8,car
9,2,1,3,10,car
9,2,1,3,15,car
9,2,1,3,9,car
9,2,1,3,11,car
9,2,1,4,12,car
9,2,1,4,16,car
9,2,1,4,17,car
9,2,1,4,13,car
9,2,1,4,14,car
9,3,1,5,18,car
9,3,1,5,19,car
9,3,1,5,25,car
9,3,1,5,20,car
9,3,1,5,24,car
9,3,1,6,22,car
9,3,1,6,21,car
9,3,1,6,23,car
9,4,1,7,27,car
9,4,1,7,26,car
9,4,1,7,28,car
9,4,1,7,31,car
9,4,1,7,32,car
9,4,1,8,29,car
9,4,1,8,34,car
9,4,1,8,30,car
9,4,1,8,33,car
9,5,1,9,37,car
9,5,1,9,35,car
9,5,1,9,39,car
9,5,1,9,42,car
9,5,1,9,44,car
9,5,1,10,38,car
9,5,1,10,40,car
9,5,1,10,41,car
9,5,1,10,36,car
9,5,1,10,43,car
9,6,1,11,45,car
9,6,1,11,47,car
9,6,1,11,51,car
9,6,1,11,50,car
9,6,1,12,46,car
