task_id,warehouse_id,clusterization_id,cluster_id,order_id,transport_type
2,1,1,1,6,car
2,1,1,1,8,car
2,1,1,1,9,car
2,1,1,1,3,car
2,1,1,2,4,car
2,1,1,2,2,car
2,1,1,2,1,car
2,1,1,2,7,car
2,1,1,2,5,car
2,2,1,3,16,car
2,2,1,3,13,car
2,2,1,3,14,car
2,2,1,3,11,car
2,2,1,4,15,car
2,2,1,4,10,car
2,2,1,4,12,car
2,3,1,5,17,car
2,3,1,5,22,car
2,3,1,5,24,car
2,3,1,5,21,car
2,3,1,6,18,car
2,3,1,6,25,car
2,3,1,6,20,car
2,3,1,6,23,car
2,3,1,6,19,car
2,4,1,7,26,car
2,4,1,7,29,car
2,4,1,7,31,car
2,4,1,7,30,car
2,4,1,7,28,car
2,4,1,8,32,car
2,4,1,8,27,car
2,5,1,9,34,car
2,5,1,9,38,car
2,5,1,9,40,car
2,5,1,9,35,car
2,5,1,10,36,car
2,5,1,10,41,car
2,5,1,10,39,car
2,5,1,10,37,car
2,5,1,10,33,car
2,1,2,1,6,car
2,1,2,1,8,car
2,1,2,1,9,car
2,1,2,1,3,car
2,1,2,2,4,car
2,1,2,2,2,car
2,1,2,2,1,car
2,1,2,2,7,car
2,1,2,2,5,car
2,2,2,3,16,car
2,2,2,3,13,car
2,2,2,3,14,car
2,2,2,3,11,car
2,2,2,4,15,car
2,2,2,4,10,car
2,2,2,4,12,car
2,3,2,5,17,car
2,3,2,5,22,car
2,3,2,5,24,car
2,3,2,5,21,car
2,3,2,6,18,car
2,3,2,6,25,car
2,3,2,6,20,car
2,3,2,6,23,car
2,3,2,6,19,car
2,4,2,7,26,car
2,4,2,7,29,car
2,4,2,7,31,car
2,4,2,7,30,car
2,4,2,7,28,car
2,4,2,8,32,car
2,4,2,8,27,car
2,5,2,9,34,car
2,5,2,9,38,car
2,5,2,9,40,car
2,5,2,9,35,car
2,5,2,9,39,car
2,5,2,10,36,car
2,5,2,10,37,car
2,5,2,10,33,car
2,5,2,10,41,car
