task_id,warehouse_id,clusterization_id,cluster_id,order_id,transport_type
1,1,1,1,7,car
1,1,1,1,3,car
1,1,1,1,2,car
1,1,1,1,1,car
1,1,1,1,4,car
1,1,1,2,8,car
1,1,1,2,6,car
1,1,1,2,5,car
1,2,1,3,12,car
1,2,1,3,9,car
1,2,1,3,13,car
1,2,1,3,15,car
1,2,1,3,11,car
1,2,1,4,16,car
1,2,1,4,14,car
1,2,1,4,10,car
1,3,1,5,21,car
1,3,1,5,23,car
1,3,1,5,18,car
1,3,1,5,22,car
1,3,1,5,17,car
1,3,1,6,19,car
1,3,1,6,20,car
1,4,1,7,27,car
1,4,1,7,28,car
1,4,1,7,25,car
1,4,1,7,30,car
1,4,1,7,29,car
1,4,1,8,24,car
1,4,1,8,26,car
1,5,1,9,39,car
1,5,1,9,34,car
1,5,1,9,31,car
1,5,1,9,37,car
1,5,1,9,32,car
1,5,1,10,38,car
1,5,1,10,40,car
1,5,1,10,33,car
1,5,1,10,35,car
1,5,1,10,36,car
1,6,1,11,42,car
1,6,1,11,41,car
1,6,1,11,43,car
1,6,1,11,46,car
1,6,1,11,45,car
1,6,1,12,44,car
1,6,1,12,47,car
1,1,2,1,7,car
1,1,2,1,3,car
1,1,2,1,2,car
1,1,2,1,1,car
1,1,2,1,4,car
1,1,2,2,8,car
1,1,2,2,6,car
1,1,2,2,5,car
1,2,2,3,12,car
1,2,2,3,9,car
1,2,2,3,13,car
1,2,2,3,15,car
1,2,2,3,11,car
1,2,2,4,16,car
1,2,2,4,14,car
1,2,2,4,10,car
1,3,2,5,21,car
1,3,2,5,23,car
1,3,2,5,18,car
1,3,2,5,22,car
1,3,2,5,17,car
1,3,2,6,19,car
1,3,2,6,20,car
1,4,2,7,27,car
1,4,2,7,28,car
1,4,2,7,25,car
1,4,2,7,30,car
1,4,2,7,29,car
1,4,2,8,24,car
1,4,2,8,26,car
1,5,2,9,39,car
1,5,2,9,34,car
1,5,2,9,31,car
1,5,2,9,37,car
1,5,2,9,32,car
1,5,2,10,38,car
1,5,2,10,40,car
1,5,2,10,33,car
1,5,2,10,35,car
1,5,2,10,36,car
1,6,2,11,47,car
1,6,2,11,42,car
1,6,2,11,41,car
1,6,2,11,43,car
1,6,2,11,46,car
1,6,2,12,45,car
1,6,2,12,44,car
1,1,3,1,4,car
1,1,3,1,1,car
1,1,3,1,2,car
1,1,3,1,3,car
1,1,3,1,7,car
1,1,3,2,5,car
1,1,3,2,6,car
1,1,3,2,8,car
1,2,3,3,16,car
1,2,3,3,11,car
1,2,3,3,15,car
1,2,3,3,13,car
1,2,3,3,9,car
1,2,3,4,12,car
1,2,3,4,10,car
1,2,3,4,14,car
1,3,3,5,17,car
1,3,3,5,22,car
1,3,3,5,18,car
1,3,3,5,23,car
1,3,3,5,21,car
1,3,3,6,20,car
1,3,3,6,19,car
1,4,3,7,29,car
1,4,3,7,30,car
1,4,3,7,25,car
1,4,3,7,28,car
1,4,3,7,27,car
1,4,3,8,26,car
1,4,3,8,24,car
1,5,3,9,33,car
1,5,3,9,40,car
1,5,3,9,38,car
1,5,3,9,32,car
1,5,3,9,37,car
1,5,3,10,31,car
1,5,3,10,34,car
1,5,3,10,39,car
1,5,3,10,36,car
1,5,3,10,35,car
1,6,3,11,41,car
1,6,3,11,42,car
1,6,3,11,47,car
1,6,3,11,44,car
1,6,3,11,45,car
1,6,3,12,46,car
1,6,3,12,43,car
1,1,4,1,4,car
1,1,4,1,1,car
1,1,4,1,2,car
1,1,4,1,3,car
1,1,4,1,7,car
1,1,4,2,5,car
1,1,4,2,6,car
1,1,4,2,8,car
1,2,4,3,16,car
1,2,4,3,11,car
1,2,4,3,15,car
1,2,4,3,13,car
1,2,4,3,9,car
1,2,4,4,12,car
1,2,4,4,10,car
1,2,4,4,14,car
1,3,4,5,17,car
1,3,4,5,22,car
1,3,4,5,18,car
1,3,4,5,23,car
1,3,4,5,21,car
1,3,4,6,20,car
1,3,4,6,19,car
1,4,4,7,29,car
1,4,4,7,30,car
1,4,4,7,25,car
1,4,4,7,28,car
1,4,4,7,27,car
1,4,4,8,26,car
1,4,4,8,24,car
1,5,4,9,33,car
1,5,4,9,40,car
1,5,4,9,38,car
1,5,4,9,32,car
1,5,4,9,37,car
1,5,4,10,31,car
1,5,4,10,34,car
1,5,4,10,39,car
1,5,4,10,36,car
1,5,4,10,35,car
1,6,4,11,46,car
1,6,4,11,43,car
1,6,4,11,41,car
1,6,4,11,42,car
1,6,4,11,47,car
1,6,4,12,44,car
1,6,4,12,45,car
1,1,5,1,5,car
1,1,5,1,7,car
1,1,5,1,3,car
1,1,5,1,2,car
1,1,5,1,1,car
1,1,5,2,4,car
1,1,5,2,8,car
1,1,5,2,6,car
1,2,5,3,12,car
1,2,5,3,9,car
1,2,5,3,13,car
1,2,5,3,15,car
1,2,5,3,11,car
1,2,5,4,16,car
1,2,5,4,14,car
1,2,5,4,10,car
1,3,5,5,21,car
1,3,5,5,23,car
1,3,5,5,18,car
1,3,5,5,22,car
1,3,5,5,17,car
1,3,5,6,19,car
1,3,5,6,20,car
1,4,5,7,27,car
1,4,5,7,28,car
1,4,5,7,25,car
1,4,5,7,30,car
1,4,5,7,29,car
1,4,5,8,24,car
1,4,5,8,26,car
1,5,5,9,39,car
1,5,5,9,34,car
1,5,5,9,31,car
1,5,5,9,37,car
1,5,5,9,32,car
1,5,5,10,38,car
1,5,5,10,40,car
1,5,5,10,33,car
1,5,5,10,35,car
1,5,5,10,36,car
1,6,5,11,47,car
1,6,5,11,42,car
1,6,5,11,41,car
1,6,5,11,43,car
1,6,5,11,46,car
1,6,5,12,45,car
1,6,5,12,44,car
1,1,6,1,4,car
1,1,6,1,1,car
1,1,6,1,2,car
1,1,6,1,3,car
1,1,6,1,7,car
1,1,6,2,5,car
1,1,6,2,6,car
1,1,6,2,8,car
1,2,6,3,16,car
1,2,6,3,11,car
1,2,6,3,15,car
1,2,6,3,13,car
1,2,6,3,9,car
1,2,6,4,12,car
1,2,6,4,10,car
1,2,6,4,14,car
1,3,6,5,17,car
1,3,6,5,22,car
1,3,6,5,18,car
1,3,6,5,23,car
1,3,6,5,21,car
1,3,6,6,20,car
1,3,6,6,19,car
1,4,6,7,29,car
1,4,6,7,30,car
1,4,6,7,25,car
1,4,6,7,28,car
1,4,6,7,27,car
1,4,6,8,26,car
1,4,6,8,24,car
1,5,6,9,35,car
1,5,6,9,33,car
1,5,6,9,40,car
1,5,6,9,38,car
1,5,6,9,32,car
1,5,6,10,37,car
1,5,6,10,31,car
1,5,6,10,34,car
1,5,6,10,39,car
1,5,6,10,36,car
1,6,6,11,46,car
1,6,6,11,43,car
1,6,6,11,41,car
1,6,6,11,42,car
1,6,6,11,47,car
1,6,6,12,44,car
1,6,6,12,45,car
1,1,7,1,5,car
1,1,7,1,7,car
1,1,7,1,3,car
1,1,7,1,2,car
1,1,7,1,1,car
1,1,7,2,4,car
1,1,7,2,8,car
1,1,7,2,6,car
1,2,7,3,12,car
1,2,7,3,9,car
1,2,7,3,13,car
1,2,7,3,15,car
1,2,7,3,11,car
1,2,7,4,16,car
1,2,7,4,14,car
1,2,7,4,10,car
1,3,7,5,20,car
1,3,7,5,21,car
1,3,7,5,23,car
1,3,7,5,18,car
1,3,7,5,22,car
1,3,7,6,17,car
1,3,7,6,19,car
1,4,7,7,27,car
1,4,7,7,28,car
1,4,7,7,25,car
1,4,7,7,30,car
1,4,7,7,29,car
1,4,7,8,24,car
1,4,7,8,26,car
1,5,7,9,39,car
1,5,7,9,34,car
1,5,7,9,31,car
1,5,7,9,37,car
1,5,7,9,32,car
1,5,7,10,38,car
1,5,7,10,40,car
1,5,7,10,33,car
1,5,7,10,35,car
1,5,7,10,36,car
1,6,7,11,47,car
1,6,7,11,42,car
1,6,7,11,41,car
1,6,7,11,43,car
1,6,7,11,46,car
1,6,7,12,45,car
1,6,7,12,44,car
1,1,8,1,4,car
1,1,8,1,1,car
1,1,8,1,2,car
1,1,8,1,3,car
1,1,8,1,7,car
1,1,8,2,5,car
1,1,8,2,6,car
1,1,8,2,8,car
1,2,8,3,16,car
1,2,8,3,11,car
1,2,8,3,15,car
1,2,8,3,13,car
1,2,8,3,9,car
1,2,8,4,12,car
1,2,8,4,10,car
1,2,8,4,14,car
1,3,8,5,22,car
1,3,8,5,18,car
1,3,8,5,23,car
1,3,8,5,21,car
1,3,8,5,20,car
1,3,8,6,19,car
1,3,8,6,17,car
1,4,8,7,29,car
1,4,8,7,30,car
1,4,8,7,25,car
1,4,8,7,28,car
1,4,8,7,27,car
1,4,8,8,26,car
1,4,8,8,24,car
1,5,8,9,40,car
1,5,8,9,38,car
1,5,8,9,32,car
1,5,8,9,37,car
1,5,8,9,31,car
1,5,8,10,34,car
1,5,8,10,39,car
1,5,8,10,36,car
1,5,8,10,35,car
1,5,8,10,33,car
1,6,8,11,42,car
1,6,8,11,47,car
1,6,8,11,44,car
1,6,8,11,45,car
1,6,8,11,46,car
1,6,8,12,43,car
1,6,8,12,41,car
1,1,9,1,3,car
1,1,9,1,7,car
1,1,9,1,5,car
1,1,9,1,6,car
1,1,9,1,8,car
1,1,9,2,4,car
1,1,9,2,1,car
1,1,9,2,2,car
1,2,9,3,11,car
1,2,9,3,15,car
1,2,9,3,13,car
1,2,9,3,9,car
1,2,9,3,12,car
1,2,9,4,10,car
1,2,9,4,14,car
1,2,9,4,16,car
1,3,9,5,18,car
1,3,9,5,23,car
1,3,9,5,21,car
1,3,9,5,20,car
1,3,9,5,19,car
1,3,9,6,17,car
1,3,9,6,22,car
1,4,9,7,29,car
1,4,9,7,30,car
1,4,9,7,25,car
1,4,9,7,28,car
1,4,9,7,27,car
1,4,9,8,26,car
1,4,9,8,24,car
1,5,9,9,38,car
1,5,9,9,32,car
1,5,9,9,37,car
1,5,9,9,31,car
1,5,9,9,34,car
1,5,9,10,39,car
1,5,9,10,36,car
1,5,9,10,35,car
1,5,9,10,33,car
1,5,9,10,40,car
1,6,9,11,42,car
1,6,9,11,47,car
1,6,9,11,44,car
1,6,9,11,45,car
1,6,9,11,46,car
1,6,9,12,43,car
1,6,9,12,41,car
1,1,10,1,1,car
1,1,10,1,2,car
1,1,10,1,3,car
1,1,10,1,7,car
1,1,10,1,5,car
1,1,10,2,6,car
1,1,10,2,8,car
1,1,10,2,4,car
1,2,10,3,11,car
1,2,10,3,15,car
1,2,10,3,13,car
1,2,10,3,9,car
1,2,10,3,12,car
1,2,10,4,10,car
1,2,10,4,14,car
1,2,10,4,16,car
1,3,10,5,18,car
1,3,10,5,23,car
1,3,10,5,21,car
1,3,10,5,20,car
1,3,10,5,19,car
1,3,10,6,17,car
1,3,10,6,22,car
1,4,10,7,29,car
1,4,10,7,30,car
1,4,10,7,25,car
1,4,10,7,28,car
1,4,10,7,27,car
1,4,10,8,26,car
1,4,10,8,24,car
1,5,10,9,38,car
1,5,10,9,32,car
1,5,10,9,37,car
1,5,10,9,31,car
1,5,10,9,34,car
1,5,10,10,39,car
1,5,10,10,36,car
1,5,10,10,35,car
1,5,10,10,33,car
1,5,10,10,40,car
1,6,10,11,42,car
1,6,10,11,47,car
1,6,10,11,44,car
1,6,10,11,45,car
1,6,10,11,46,car
1,6,10,12,43,car
1,6,10,12,41,car
1,1,11,1,4,car
1,1,11,1,8,car
1,1,11,1,6,car
1,1,11,1,5,car
1,1,11,1,7,car
1,1,11,2,3,car
1,1,11,2,2,car
1,1,11,2,1,car
1,2,11,3,14,car
1,2,11,3,10,car
1,2,11,3,12,car
1,2,11,3,9,car
1,2,11,3,13,car
1,2,11,4,15,car
1,2,11,4,11,car
1,2,11,4,16,car
1,3,11,5,22,car
1,3,11,5,17,car
1,3,11,5,19,car
1,3,11,5,20,car
1,3,11,5,21,car
1,3,11,6,23,car
1,3,11,6,18,car
1,4,11,7,24,car
1,4,11,7,26,car
1,4,11,7,27,car
1,4,11,7,28,car
1,4,11,7,25,car
1,4,11,8,30,car
1,4,11,8,29,car
1,5,11,9,40,car
1,5,11,9,33,car
1,5,11,9,35,car
1,5,11,9,36,car
1,5,11,9,39,car
1,5,11,10,34,car
1,5,11,10,31,car
1,5,11,10,37,car
1,5,11,10,32,car
1,5,11,10,38,car
1,6,11,11,41,car
1,6,11,11,43,car
1,6,11,11,46,car
1,6,11,11,45,car
1,6,11,11,44,car
1,6,11,12,47,car
1,6,11,12,42,car
1,1,12,1,7,car
1,1,12,1,3,car
1,1,12,1,2,car
1,1,12,1,1,car
1,1,12,1,4,car
