task_id,warehouse_id,clusterization_id,cluster_id,order_id,transport_type
1,1,1,1,1,car
1,1,1,1,2,car
1,1,1,1,3,car
1,1,1,1,4,car
1,1,1,1,7,car
1,1,1,2,5,car
1,1,1,2,6,car
1,1,1,2,8,car
1,2,1,3,10,car
1,2,1,3,12,car
1,2,1,3,14,car
1,2,1,4,9,car
1,2,1,4,11,car
1,2,1,4,13,car
1,2,1,4,15,car
1,2,1,4,16,car
1,3,1,5,19,car
1,3,1,5,20,car
1,3,1,5,21,car
1,3,1,6,17,car
1,3,1,6,18,car
1,3,1,6,22,car
1,3,1,6,23,car
1,4,1,7,25,car
1,4,1,7,28,car
1,4,1,7,29,car
1,4,1,7,30,car
1,4,1,8,24,car
1,4,1,8,26,car
1,4,1,8,27,car
1,5,1,9,33,car
1,5,1,9,35,car
1,5,1,9,38,car
1,5,1,9,40,car
1,5,1,10,31,car
1,5,1,10,32,car
1,5,1,10,34,car
1,5,1,10,37,car
1,5,1,10,39,car
1,5,1,11,36,car
1,6,1,12,41,car
1,6,1,12,43,car
1,6,1,12,45,car
1,6,1,12,46,car
1,6,1,13,42,car
1,6,1,13,44,car
1,6,1,13,47,car
1,1,2,1,1,car
1,1,2,1,2,car
1,1,2,1,3,car
1,1,2,1,4,car
1,1,2,1,7,car
1,1,2,2,5,car
1,1,2,2,6,car
1,1,2,2,8,car
1,2,2,3,10,car
1,2,2,3,12,car
1,2,2,3,14,car
1,2,2,4,9,car
1,2,2,4,11,car
1,2,2,4,13,car
1,2,2,4,15,car
1,2,2,4,16,car
1,3,2,5,21,car
1,3,2,6,19,car
1,3,2,6,20,car
1,3,2,7,17,car
1,3,2,7,18,car
1,3,2,7,22,car
1,3,2,7,23,car
1,4,2,8,25,car
1,4,2,8,28,car
1,4,2,8,29,car
1,4,2,8,30,car
1,4,2,9,24,car
1,4,2,9,26,car
1,4,2,9,27,car
1,5,2,10,33,car
1,5,2,10,35,car
1,5,2,10,38,car
1,5,2,10,40,car
1,5,2,11,31,car
1,5,2,11,32,car
1,5,2,11,34,car
1,5,2,11,37,car
1,5,2,11,39,car
1,5,2,12,36,car
1,6,2,13,41,car
1,6,2,13,43,car
1,6,2,13,45,car
1,6,2,13,46,car
1,6,2,14,42,car
1,6,2,14,44,car
1,6,2,14,47,car
1,1,3,1,5,car
1,1,3,1,6,car
1,1,3,1,8,car
1,1,3,2,1,car
1,1,3,2,2,car
1,1,3,2,3,car
1,1,3,2,4,car
1,1,3,2,7,car
1,2,3,3,14,car
1,2,3,4,10,car
1,2,3,5,11,car
1,2,3,5,13,car
1,2,3,5,15,car
1,2,3,5,16,car
1,2,3,6,9,car
1,2,3,6,12,car
1,3,3,7,21,car
1,3,3,8,19,car
1,3,3,8,20,car
1,3,3,9,17,car
1,3,3,9,18,car
1,3,3,9,22,car
1,3,3,9,23,car
1,4,3,10,29,car
1,4,3,11,25,car
1,4,3,11,27,car
1,4,3,11,28,car
1,4,3,11,30,car
1,4,3,12,24,car
1,4,3,12,26,car
1,5,3,13,33,car
1,5,3,13,35,car
1,5,3,13,38,car
1,5,3,13,40,car
1,5,3,14,31,car
1,5,3,14,32,car
1,5,3,14,34,car
1,5,3,14,37,car
1,5,3,14,39,car
1,5,3,15,36,car
1,6,3,16,41,car
1,6,3,16,43,car
1,6,3,16,45,car
1,6,3,16,46,car
1,6,3,17,42,car
1,6,3,17,44,car
1,6,3,17,47,car
1,1,4,1,5,car
1,1,4,1,6,car
1,1,4,1,8,car
1,1,4,2,1,car
1,1,4,2,2,car
1,1,4,2,3,car
1,1,4,2,4,car
1,1,4,2,7,car
1,2,4,3,14,car
1,2,4,4,10,car
1,2,4,5,11,car
1,2,4,5,13,car
1,2,4,5,15,car
1,2,4,5,16,car
1,2,4,6,9,car
1,2,4,6,12,car
1,3,4,7,21,car
1,3,4,8,19,car
1,3,4,8,20,car
1,3,4,9,17,car
1,3,4,9,18,car
1,3,4,9,22,car
1,3,4,9,23,car
1,4,4,10,29,car
1,4,4,11,27,car
1,4,4,12,25,car
1,4,4,12,28,car
1,4,4,12,30,car
1,4,4,13,24,car
1,4,4,13,26,car
1,5,4,14,38,car
1,5,4,15,36,car
1,5,4,16,31,car
1,5,4,16,32,car
1,5,4,16,34,car
1,5,4,16,37,car
1,5,4,16,39,car
1,5,4,17,33,car
1,5,4,17,35,car
1,5,4,17,40,car
1,6,4,18,42,car
1,6,4,18,47,car
1,6,4,19,41,car
1,6,4,19,43,car
1,6,4,19,44,car
1,6,4,19,45,car
1,6,4,19,46,car
1,1,5,1,5,car
1,1,5,1,6,car
1,1,5,1,8,car
1,1,5,2,1,car
1,1,5,2,2,car
1,1,5,2,3,car
1,1,5,2,4,car
1,1,5,2,7,car
1,2,5,3,14,car
1,2,5,4,10,car
1,2,5,5,11,car
1,2,5,5,13,car
1,2,5,5,15,car
1,2,5,5,16,car
1,2,5,6,9,car
1,2,5,6,12,car
1,3,5,7,21,car
1,3,5,8,19,car
1,3,5,8,20,car
1,3,5,9,17,car
1,3,5,9,18,car
1,3,5,9,22,car
1,3,5,9,23,car
1,4,5,10,29,car
1,4,5,11,27,car
1,4,5,12,25,car
1,4,5,12,28,car
1,4,5,12,30,car
1,4,5,13,24,car
1,4,5,13,26,car
1,5,5,14,38,car
1,5,5,15,36,car
1,5,5,16,31,car
1,5,5,16,32,car
1,5,5,16,34,car
1,5,5,16,37,car
1,5,5,16,39,car
1,5,5,17,33,car
1,5,5,17,35,car
1,5,5,17,40,car
1,6,5,18,47,car
1,6,5,19,42,car
1,6,5,20,41,car
1,6,5,20,43,car
1,6,5,20,44,car
1,6,5,20,45,car
1,6,5,20,46,car
1,1,6,1,5,bike
1,1,6,1,6,bike
1,1,6,1,8,bike
1,1,6,2,1,bike
1,1,6,2,2,bike
1,1,6,2,3,bike
1,1,6,2,4,bike
1,1,6,2,7,bike
1,2,6,3,14,bike
1,2,6,4,10,bike
1,2,6,5,16,bike
1,2,6,6,11,bike
1,2,6,6,13,bike
1,2,6,7,15,bike
1,2,6,8,9,bike
1,2,6,8,12,bike
1,3,6,9,21,bike
1,3,6,10,19,bike
1,3,6,10,20,bike
1,3,6,11,18,bike
1,3,6,11,23,bike
1,3,6,12,17,bike
1,3,6,12,22,bike
1,4,6,13,29,bike
1,4,6,14,27,bike
1,4,6,15,25,bike
1,4,6,15,30,bike
1,4,6,16,28,bike
1,4,6,17,24,bike
1,4,6,17,26,bike
1,5,6,18,38,bike
1,5,6,19,36,bike
1,5,6,20,39,bike
1,5,6,21,32,bike
1,5,6,21,37,bike
1,5,6,22,31,bike
1,5,6,22,34,bike
1,5,6,23,33,bike
1,5,6,23,35,bike
1,5,6,23,40,bike
1,6,6,24,42,bike
1,6,6,24,47,bike
1,6,6,25,41,bike
1,6,6,25,43,bike
1,6,6,25,45,bike
1,6,6,25,46,bike
1,6,6,26,44,bike
1,1,7,1,5,bike
1,1,7,1,6,bike
1,1,7,1,8,bike
1,1,7,2,1,bike
1,1,7,2,2,bike
1,1,7,2,3,bike
1,1,7,2,4,bike
1,1,7,2,7,bike
1,2,7,3,14,bike
1,2,7,4,10,bike
1,2,7,5,16,bike
1,2,7,6,11,bike
1,2,7,6,13,bike
1,2,7,7,15,bike
1,2,7,8,9,bike
1,2,7,8,12,bike
1,3,7,9,21,bike
1,3,7,10,19,bike
1,3,7,10,20,bike
1,3,7,11,18,bike
1,3,7,11,23,bike
1,3,7,12,17,bike
1,3,7,12,22,bike
1,4,7,13,29,bike
1,4,7,14,27,bike
1,4,7,15,25,bike
1,4,7,15,30,bike
1,4,7,16,28,bike
1,4,7,17,24,bike
1,4,7,17,26,bike
1,5,7,18,38,bike
1,5,7,19,36,bike
1,5,7,20,39,bike
1,5,7,21,32,bike
1,5,7,21,37,bike
1,5,7,22,31,bike
1,5,7,22,34,bike
1,5,7,23,33,bike
1,5,7,23,35,bike
1,5,7,23,40,bike
1,6,7,24,47,bike
1,6,7,25,42,bike
1,6,7,26,41,bike
1,6,7,26,43,bike
1,6,7,26,45,bike
1,6,7,26,46,bike
1,6,7,27,44,bike
1,1,8,1,5,car
1,1,8,1,6,car
1,1,8,1,8,car
1,1,8,2,1,car
1,1,8,2,2,car
1,1,8,2,3,car
1,1,8,2,4,car
1,1,8,2,7,car
1,2,8,3,15,car
1,2,8,4,14,car
1,2,8,5,12,car
1,2,8,6,10,car
1,2,8,7,9,car
1,2,8,7,11,car
1,2,8,7,13,car
1,2,8,7,16,car
1,3,8,8,21,car
1,3,8,9,19,car
1,3,8,9,20,car
1,3,8,10,17,car
1,3,8,10,18,car
1,3,8,10,22,car
1,3,8,10,23,car
1,4,8,11,29,car
1,4,8,12,27,car
1,4,8,13,26,car
1,4,8,14,25,car
1,4,8,14,28,car
1,4,8,14,30,car
1,4,8,15,24,car
1,5,8,16,38,car
1,5,8,17,36,car
1,5,8,18,35,car
1,5,8,19,33,car
1,5,8,19,40,car
1,5,8,20,31,car
1,5,8,20,32,car
1,5,8,20,34,car
1,5,8,20,37,car
1,5,8,20,39,car
1,6,8,21,47,car
1,6,8,22,45,car
1,6,8,23,44,car
1,6,8,24,42,car
1,6,8,25,41,car
1,6,8,25,43,car
1,6,8,25,46,car
1,1,9,1,5,bike
1,1,9,1,6,bike
1,1,9,1,8,bike
1,1,9,2,1,bike
1,1,9,2,2,bike
1,1,9,2,3,bike
