task_id,warehouse_id,clusterization_id,cluster_id,order_id,transport_type
1,1,1,1,8,car
1,1,1,1,1,car
1,1,1,1,6,car
1,1,1,1,7,car
1,1,1,1,3,car
1,1,1,2,4,car
1,1,1,2,5,car
1,1,1,2,2,car
1,2,1,3,15,car
1,2,1,3,12,car
1,2,1,3,16,car
1,2,1,3,14,car
1,2,1,3,13,car
1,2,1,4,9,car
1,2,1,4,10,car
1,2,1,4,11,car
1,3,1,5,22,car
1,3,1,5,18,car
1,3,1,5,21,car
1,3,1,5,19,car
1,3,1,5,17,car
1,3,1,6,20,car
1,3,1,6,23,car
1,4,1,7,25,car
1,4,1,7,27,car
1,4,1,7,26,car
1,4,1,7,28,car
1,4,1,7,30,car
1,4,1,8,24,car
1,4,1,8,29,car
1,5,1,9,40,car
1,5,1,9,32,car
1,5,1,9,39,car
1,5,1,9,38,car
1,5,1,9,33,car
1,5,1,10,35,car
1,5,1,10,37,car
1,5,1,10,36,car
1,5,1,10,31,car
1,5,1,10,34,car
1,6,1,11,41,car
1,6,1,11,43,car
1,6,1,11,44,car
1,6,1,11,46,car
1,6,1,11,45,car
1,6,1,12,42,bike
1,6,1,12,47,bike
1,1,2,1,6,car
1,1,2,1,3,car
1,1,2,1,2,car
1,1,2,1,5,car
1,1,2,1,7,car
1,1,2,2,1,car
1,1,2,2,4,car
1,1,2,2,8,car
1,2,2,3,12,car
1,2,2,3,10,car
1,2,2,3,11,car
1,2,2,3,13,car
1,2,2,3,9,car
1,2,2,4,16,car
1,2,2,4,15,car
1,2,2,4,14,car
1,3,2,5,22,car
1,3,2,5,21,car
1,3,2,5,23,car
1,3,2,5,17,car
1,3,2,5,18,car
1,3,2,6,19,car
1,3,2,6,20,car
1,4,2,7,29,car
1,4,2,7,27,car
1,4,2,7,24,car
1,4,2,7,28,car
1,4,2,7,26,car
1,4,2,8,25,car
1,4,2,8,30,car
1,5,2,9,40,car
1,5,2,9,35,car
1,5,2,9,33,car
1,5,2,9,39,car
1,5,2,9,38,car
1,5,2,10,32,car
1,5,2,10,36,car
1,5,2,10,34,car
1,5,2,10,31,car
1,5,2,10,37,car
1,6,2,11,44,car
1,6,2,11,41,car
1,6,2,11,42,car
1,6,2,11,45,car
1,6,2,11,47,car
1,6,2,12,43,car
1,6,2,12,46,car
1,1,3,1,6,car
1,1,3,1,4,car
1,1,3,1,3,car
1,1,3,1,2,car
1,1,3,1,8,car
1,1,3,2,1,bike
1,1,3,2,5,bike
1,1,3,2,7,bike
1,2,3,3,9,car
1,2,3,3,14,car
1,2,3,3,13,car
1,2,3,3,16,car
1,2,3,3,12,car
1,2,3,4,10,car
1,2,3,4,15,car
1,2,3,4,11,car
1,3,3,5,20,car
1,3,3,5,19,car
1,3,3,5,18,car
1,3,3,5,21,car
1,3,3,5,23,car
1,3,3,6,17,car
1,3,3,6,22,car
1,4,3,7,28,car
1,4,3,7,27,car
1,4,3,7,26,car
1,4,3,7,29,car
1,4,3,7,30,car
1,4,3,8,25,car
1,4,3,8,24,car
1,5,3,9,36,car
1,5,3,9,33,car
1,5,3,9,35,car
1,5,3,9,32,car
1,5,3,9,39,car
1,5,3,10,31,car
1,5,3,10,37,car
1,5,3,10,34,car
1,5,3,10,38,car
1,5,3,10,40,car
1,6,3,11,46,car
1,6,3,11,47,car
1,6,3,11,41,car
1,6,3,11,45,car
1,6,3,11,44,car
1,6,3,12,42,car
1,6,3,12,43,car
1,1,4,1,8,car
1,1,4,1,5,car
1,1,4,1,7,car
1,1,4,1,4,car
1,1,4,1,3,car
1,1,4,2,2,car
1,1,4,2,6,car
1,1,4,2,1,car
1,2,4,3,14,car
1,2,4,3,15,car
1,2,4,3,13,car
1,2,4,3,10,car
1,2,4,3,9,car
1,2,4,4,12,car
1,2,4,4,16,car
1,2,4,4,11,car
1,3,4,5,22,car
1,3,4,5,23,car
1,3,4,5,19,car
1,3,4,5,18,car
1,3,4,5,21,car
1,3,4,6,17,car
1,3,4,6,20,car
1,4,4,7,30,car
1,4,4,7,26,car
1,4,4,7,24,car
1,4,4,7,25,car
1,4,4,7,28,car
1,4,4,8,29,car
1,4,4,8,27,car
1,5,4,9,32,car
1,5,4,9,39,car
1,5,4,9,34,car
1,5,4,9,36,car
1,5,4,9,31,car
1,5,4,10,33,car
1,5,4,10,35,car
1,5,4,10,38,car
1,5,4,10,40,car
1,5,4,10,37,car
1,6,4,11,45,car
1,6,4,11,41,car
1,6,4,11,44,car
1,6,4,11,42,car
1,6,4,11,46,car
1,6,4,12,47,car
1,6,4,12,43,car
1,1,5,1,7,car
1,1,5,1,3,car
1,1,5,1,1,car
1,1,5,1,5,car
1,1,5,1,8,car
1,1,5,2,6,car
1,1,5,2,4,car
1,1,5,2,2,car
1,2,5,3,9,car
1,2,5,3,16,car
1,2,5,3,11,car
1,2,5,3,14,car
1,2,5,3,12,car
1,2,5,4,13,car
1,2,5,4,15,car
1,2,5,4,10,car
1,3,5,5,22,car
1,3,5,5,20,car
1,3,5,5,23,car
1,3,5,5,19,car
1,3,5,5,21,car
1,3,5,6,17,car
1,3,5,6,18,car
1,4,5,7,29,car
1,4,5,7,25,car
1,4,5,7,28,car
1,4,5,7,27,car
1,4,5,7,26,car
1,4,5,8,24,car
1,4,5,8,30,car
1,5,5,9,37,car
1,5,5,9,31,car
1,5,5,9,36,car
1,5,5,9,32,car
1,5,5,9,40,car
1,5,5,10,38,car
1,5,5,10,34,car
1,5,5,10,39,car
1,5,5,10,33,car
1,5,5,10,35,car
1,6,5,11,42,car
1,6,5,11,41,car
