task_id,warehouse_id,lat,lon
1,1,55.695719,37.810863
1,2,55.733089,37.633934
1,3,55.620227,37.616792
1,4,55.6,37.759459
1,5,55.6,37.667504
1,6,55.674938,37.771335
2,1,55.668198,37.662417
2,2,55.656486,37.549098
2,3,55.6,37.639103
2,4,55.6,37.534006
2,5,55.699059,37.655758
3,1,55.748718,37.408937
3,2,55.876599,37.427355
3,3,55.718983,37.372813
3,4,55.779002,37.544263
3,5,55.728233,37.356409
4,1,55.60365,37.9
4,2,55.630676,37.700666
4,3,55.767949,37.65725
4,4,55.757839,37.699806
4,5,55.6,37.731596
4,6,55.6,37.854717
5,1,55.852419,37.568872
5,2,55.861368,37.363959
5,3,55.95,37.509724
5,4,55.755605,37.485315
6,1,55.709153,37.712279
6,2,55.6,37.9
6,3,55.710757,37.9
6,4,55.641085,37.725585
6,5,55.60158,37.768185
6,6,55.801212,37.815995
7,1,55.908901,37.707882
7,2,55.876933,37.596712
7,3,55.765919,37.803717
7,4,55.78855,37.804305
7,5,55.766619,37.588614
8,1,55.801727,37.460347
8,2,55.875471,37.559955
8,3,55.706926,37.691288
8,4,55.656628,37.664519
9,1,55.664392,37.538487
9,2,55.719203,37.448301
9,3,55.824693,37.39382
9,4,55.789543,37.393935
9,5,55.779074,37.535838
9,6,55.703215,37.601868
10,1,55.770317,37.631419
10,2,55.933944,37.673658
10,3,55.95,37.784638
10,4,55.779137,37.69998
