task_id,order_id,warehouse_id,order_lat,order_lon,pickup_ready_at,created_at,delivery_deadline_at,total_mass_kg,time_window_sec,lead_time_sec,prep_time_sec,dist_from_warehouse_km,straight_line_travel_sec_moped,feasible_solo_moped,straight_line_travel_sec_walking,feasible_solo_walking,straight_line_travel_sec_car,feasible_solo_car,pickup_ready_ts,deadline_ts
1,1,1,55.800495,37.592843,2026-06-15 08:29:12+00:00,2026-06-15 08:21:47+00:00,2026-06-15 09:12:00+00:00,3.97,2568,3013,445,0.42874161571085956,102,True,308,True,38,True,1781512,1781514
1,2,1,55.778144,37.614273,2026-06-15 08:23:01+00:00,2026-06-15 08:06:28+00:00,2026-06-15 08:56:57+00:00,4.66,2036,3029,993,2.619185370725664,628,True,1885,True,235,True,1781511,1781513
1,3,1,55.808968,37.59679,2026-06-15 08:25:06+00:00,2026-06-15 08:15:46+00:00,2026-06-15 08:41:24+00:00,3.23,978,1538,560,0.9888795263538144,237,True,711,True,88,True,1781511,1781512
1,4,1,55.799636,37.567844,2026-06-15 08:27:55+00:00,2026-06-15 08:18:32+00:00,2026-06-15 08:48:36+00:00,3.08,1241,1804,563,1.9912320172534117,477,True,1433,False,179,True,1781512,1781513
1,5,1,55.801324,37.61307,2026-06-15 08:35:19+00:00,2026-06-15 08:21:19+00:00,2026-06-15 08:59:41+00:00,5.34,1462,2302,840,0.8453735265895745,202,True,608,True,76,True,1781512,1781513
1,6,1,55.787835,37.618519,2026-06-15 08:24:14+00:00,2026-06-15 08:20:14+00:00,2026-06-15 08:39:27+00:00,5.57,913,1153,240,1.812183423541448,434,True,1304,False,163,True,1781511,1781512
1,7,1,55.794795,37.566305,2026-06-15 08:31:05+00:00,2026-06-15 08:28:18+00:00,2026-06-15 08:49:31+00:00,3.15,1106,1273,167,2.172079915103904,521,True,1563,False,195,True,1781512,1781513
1,8,1,55.779804,37.5839,2026-06-15 08:30:51+00:00,2026-06-15 08:19:40+00:00,2026-06-15 08:54:58+00:00,4.29,1447,2118,671,2.475900809290264,594,True,1782,False,222,True,1781512,1781513
1,9,1,55.808795,37.667066,2026-06-15 08:25:44+00:00,2026-06-15 08:24:34+00:00,2026-06-15 08:49:10+00:00,1.7,1406,1476,70,4.317299816098093,1036,True,3108,False,388,True,1781511,1781513
1,10,1,55.781484,37.587199,2026-06-15 08:28:30+00:00,2026-06-15 08:12:13+00:00,2026-06-15 08:48:30+00:00,5.13,1200,2177,977,2.2253182136963163,534,True,1602,False,200,True,1781512,1781513
1,11,1,55.795134,37.548061,2026-06-15 08:30:01+00:00,2026-06-15 08:26:58+00:00,2026-06-15 09:05:54+00:00,3.16,2153,2336,183,3.276077044314763,786,True,2358,False,294,True,1781512,1781514
1,12,1,55.795895,37.622653,2026-06-15 08:23:24+00:00,2026-06-15 08:21:02+00:00,2026-06-15 09:07:15+00:00,0.96,2631,2773,142,1.514119356054254,363,True,1090,True,136,True,1781511,1781514
1,13,1,55.799521,37.612207,2026-06-15 08:33:28+00:00,2026-06-15 08:24:28+00:00,2026-06-15 08:56:38+00:00,3.36,1390,1930,540,0.7864808193989516,188,True,566,True,70,True,1781512,1781513
1,14,1,55.789007,37.605379,2026-06-15 08:31:16+00:00,2026-06-15 08:27:43+00:00,2026-06-15 09:11:57+00:00,4.78,2441,2654,213,1.2971543565111647,311,True,933,True,116,True,1781512,1781514
1,15,1,55.791011,37.607138,2026-06-15 08:32:23+00:00,2026-06-15 08:30:42+00:00,2026-06-15 08:59:51+00:00,6.88,1648,1749,101,1.125468964786026,270,True,810,True,101,True,1781512,1781513
1,16,1,55.780804,37.662668,2026-06-15 08:31:24+00:00,2026-06-15 08:27:59+00:00,2026-06-15 09:14:09+00:00,6.63,2565,2770,205,4.490714285772725,1077,True,3233,False,404,True,1781512,1781514
1,17,1,55.79749,37.596558,2026-06-15 08:29:43+00:00,2026-06-15 08:14:03+00:00,2026-06-15 08:47:11+00:00,24.4,1048,1988,940,0.3615402181291548,86,True,260,True,32,True,1781512,1781513
1,18,1,55.825216,37.581377,2026-06-15 08:26:16+00:00,2026-06-15 08:19:38+00:00,2026-06-15 08:56:53+00:00,0.3,1837,2235,398,3.005122571884111,721,True,2163,False,270,True,1781511,1781513
1,19,1,55.806347,37.578734,2026-06-15 08:30:51+00:00,2026-06-15 08:28:41+00:00,2026-06-15 09:06:01+00:00,3.71,2110,2240,130,1.475786705365678,354,True,1062,True,132,True,1781512,1781514
1,20,1,55.797821,37.570302,2026-06-15 08:36:39+00:00,2026-06-15 08:32:03+00:00,2026-06-15 08:52:46+00:00,5.77,967,1243,276,1.8559218674007043,445,True,1336,False,167,True,1781512,1781513
1,21,1,55.813214,37.557519,2026-06-15 08:37:14+00:00,2026-06-15 08:31:25+00:00,2026-06-15 09:07:41+00:00,2.37,1827,2176,349,3.0048876011432752,721,True,2163,False,270,True,1781512,1781514
1,22,1,55.80488,37.613609,2026-06-15 08:37:52+00:00,2026-06-15 08:20:02+00:00,2026-06-15 09:15:19+00:00,16.81,2247,3317,1070,1.0124571353052643,242,True,728,True,91,True,1781512,1781514
1,23,1,55.786867,37.596857,2026-06-15 08:32:35+00:00,2026-06-15 08:25:06+00:00,2026-06-15 08:50:25+00:00,4.39,1070,1519,449,1.4958322753564788,358,True,1076,False,134,True,1781512,1781513
1,24,1,55.814889,37.588748,2026-06-15 08:35:17+00:00,2026-06-15 08:32:13+00:00,2026-06-15 08:55:39+00:00,6.97,1222,1406,184,1.7680236823303306,424,True,1272,False,159,True,1781512,1781513
1,25,1,55.798213,37.608675,2026-06-15 08:30:00+00:00,2026-06-15 08:27:08+00:00,2026-06-15 08:45:25+00:00,3.29,925,1097,172,0.6047369202247997,145,True,435,True,54,True,1781512,1781513
1,26,1,55.793574,37.575471,2026-06-15 08:33:06+00:00,2026-06-15 08:21:29+00:00,2026-06-15 08:54:05+00:00,3.91,1259,1956,697,1.684595839023289,404,True,1212,True,151,True,1781512,1781513
1,27,1,55.798715,37.560923,2026-06-15 08:26:48+00:00,2026-06-15 08:17:02+00:00,2026-06-15 09:01:41+00:00,3.13,2093,2679,586,2.428563408350045,582,True,1748,True,218,True,1781512,1781514
1,28,1,55.811945,37.589031,2026-06-15 08:32:08+00:00,2026-06-15 08:30:01+00:00,2026-06-15 08:51:20+00:00,18.55,1152,1279,127,1.4634506646271215,351,True,1053,True,131,True,1781512,1781513
1,29,1,55.777972,37.572399,2026-06-15 08:29:28+00:00,2026-06-15 08:13:46+00:00,2026-06-15 08:45:00+00:00,3.48,932,1874,942,3.005491580896747,721,True,2163,False,270,True,1781512,1781513
1,30,1,55.802691,37.585208,2026-06-15 08:31:41+00:00,2026-06-15 08:14:20+00:00,2026-06-15 09:04:46+00:00,3.71,1985,3026,1041,0.9454883581960853,226,True,680,True,85,True,1781512,1781514
1,31,1,55.796004,37.58908,2026-06-15 08:25:57+00:00,2026-06-15 08:21:13+00:00,2026-06-15 09:03:19+00:00,1.36,2242,2526,284,0.8122501614267212,194,True,584,True,73,True,1781511,1781514
1,32,1,55.824923,37.619214,2026-06-15 08:35:11+00:00,2026-06-15 08:28:59+00:00,2026-06-15 08:54:29+00:00,4.61,1158,1530,372,3.0051320331404523,721,True,2163,False,270,True,1781512,1781513
1,33,1,55.796343,37.630846,2026-06-15 08:22:20+00:00,2026-06-15 08:21:13+00:00,2026-06-15 08:42:34+00:00,1.53,1214,1281,67,1.994873238321773,478,True,1436,False,179,True,1781511,1781512
1,34,1,55.78209,37.530314,2026-06-15 08:30:04+00:00,2026-06-15 08:12:34+00:00,2026-06-15 09:10:36+00:00,4.63,2432,3482,1050,4.782688600382906,1147,True,3443,False,430,True,1781512,1781514
1,35,1,55.802882,37.6563,2026-06-15 08:28:39+00:00,2026-06-15 08:27:40+00:00,2026-06-15 08:54:51+00:00,6.83,1572,1631,59,3.5505934871420446,852,True,2556,False,319,True,1781512,1781513
1,36,1,55.802926,37.591378,2026-06-15 08:23:35+00:00,2026-06-15 08:06:42+00:00,2026-06-15 09:05:39+00:00,23.91,2524,3537,1013,0.5998403367234727,143,True,431,True,53,True,1781511,1781514
1,37,1,55.802176,37.581166,2026-06-15 08:24:09+00:00,2026-06-15 08:13:25+00:00,2026-06-15 08:54:34+00:00,3.47,1825,2469,644,1.1776341997748854,282,True,847,True,105,True,1781511,1781513
1,38,1,55.795425,37.607207,2026-06-15 08:24:14+00:00,2026-06-15 08:14:40+00:00,2026-06-15 08:51:44+00:00,4.53,1650,2224,574,0.7112404501129537,170,True,512,True,64,True,1781511,1781513
1,39,1,55.798904,37.602305,2026-06-15 08:32:58+00:00,2026-06-15 08:27:02+00:00,2026-06-15 09:16:25+00:00,3.89,2607,2963,356,0.21993437866114046,52,True,158,True,19,True,1781512,1781514
1,40,1,55.787449,37.642059,2026-06-15 08:32:26+00:00,2026-06-15 08:16:21+00:00,2026-06-15 09:03:24+00:00,7.14,1858,2823,965,3.005685001366559,721,True,2164,False,270,True,1781512,1781514
1,41,1,55.799395,37.584172,2026-06-15 08:35:46+00:00,2026-06-15 08:33:07+00:00,2026-06-15 09:09:11+00:00,5.41,2005,2164,159,0.9740247716080362,233,True,701,True,87,True,1781512,1781514
1,42,1,55.823532,37.624031,2026-06-15 08:37:20+00:00,2026-06-15 08:21:19+00:00,2026-06-15 09:10:08+00:00,3.88,1968,2929,961,3.005045009789994,721,True,2163,False,270,True,1781512,1781514
1,43,1,55.808475,37.594509,2026-06-15 08:23:31+00:00,2026-06-15 08:11:11+00:00,2026-06-15 08:43:39+00:00,1.81,1208,1948,740,0.9727373804864026,233,True,700,True,87,True,1781511,1781513
1,44,1,55.781315,37.606988,2026-06-15 08:34:47+00:00,2026-06-15 08:24:56+00:00,2026-06-15 09:07:46+00:00,4.13,1979,2570,591,2.1516768052937225,516,True,1549,True,193,True,1781512,1781514
1,45,1,55.814462,37.622619,2026-06-15 08:28:41+00:00,2026-06-15 08:13:12+00:00,2026-06-15 09:03:49+00:00,20.04,2108,3037,929,2.135371822259011,512,True,1537,True,192,True,1781512,1781514
1,46,1,55.801508,37.570772,2026-06-15 08:27:01+00:00,2026-06-15 08:23:52+00:00,2026-06-15 08:46:27+00:00,2.45,1166,1355,189,1.8127310380286885,435,True,1305,False,163,True,1781512,1781513
1,47,1,55.795892,37.606629,2026-06-15 08:36:58+00:00,2026-06-15 08:21:22+00:00,2026-06-15 09:06:20+00:00,2.66,1762,2698,936,0.6484319952848886,155,True,466,True,58,True,1781512,1781514
1,48,1,55.795157,37.555787,2026-06-15 08:35:36+00:00,2026-06-15 08:22:52+00:00,2026-06-15 08:54:15+00:00,5.0,1119,1883,764,2.801157591825328,672,True,2016,False,252,True,1781512,1781513
1,49,1,55.810897,37.601157,2026-06-15 08:26:43+00:00,2026-06-15 08:17:33+00:00,2026-06-15 08:54:59+00:00,1.12,1696,2246,550,1.1902274392405596,285,True,856,True,107,True,1781512,1781513
1,50,1,55.803872,37.56712,2026-06-15 08:36:04+00:00,2026-06-15 08:30:23+00:00,2026-06-15 09:16:10+00:00,0.3,2406,2747,341,2.0753016609991004,498,True,1494,True,186,True,1781512,1781514
1,51,2,55.827045,37.689056,2026-06-15 08:25:51+00:00,2026-06-15 08:22:59+00:00,2026-06-15 09:04:09+00:00,4.95,2298,2470,172,1.7273657228468835,414,True,1243,True,155,True,1781511,1781514
1,52,2,55.807718,37.657569,2026-06-15 08:22:49+00:00,2026-06-15 08:10:42+00:00,2026-06-15 09:01:51+00:00,10.58,2342,3069,727,1.2478901295882223,299,True,898,True,112,True,1781511,1781514
1,53,2,55.81817,37.676999,2026-06-15 08:34:21+00:00,2026-06-15 08:20:23+00:00,2026-06-15 09:14:29+00:00,3.49,2408,3246,838,0.5011662033432899,120,True,360,True,45,True,1781512,1781514
1,54,2,55.836929,37.715032,2026-06-15 08:32:04+00:00,2026-06-15 08:15:03+00:00,2026-06-15 08:51:43+00:00,6.44,1179,2200,1021,3.611081433484845,866,True,2599,False,324,True,1781512,1781513
1,55,2,55.813013,37.686905,2026-06-15 08:31:47+00:00,2026-06-15 08:30:41+00:00,2026-06-15 09:05:16+00:00,7.1,2009,2075,66,0.8020457160881046,192,True,577,True,72,True,1781512,1781514
1,56,2,55.801156,37.586455,2026-06-15 08:24:56+00:00,2026-06-15 08:05:20+00:00,2026-06-15 08:53:41+00:00,2.91,1725,2901,1176,5.663257481009288,1359,True,4077,False,509,True,1781511,1781513
1,57,2,55.802381,37.664103,2026-06-15 08:26:49+00:00,2026-06-15 08:15:15+00:00,2026-06-15 09:02:48+00:00,6.38,2159,2853,694,1.4322775961054306,343,True,1031,True,128,True,1781512,1781514
1,58,2,55.827921,37.707701,2026-06-15 08:29:35+00:00,2026-06-15 08:27:12+00:00,2026-06-15 08:48:36+00:00,4.63,1141,1284,143,2.6073928396935293,625,True,1877,False,234,True,1781512,1781513
1,59,2,55.793144,37.692201,2026-06-15 08:28:35+00:00,2026-06-15 08:20:24+00:00,2026-06-15 08:50:06+00:00,3.95,1291,1782,491,2.57326662442271,617,True,1852,False,231,True,1781512,1781513
1,60,2,55.819169,37.676317,2026-06-15 08:25:36+00:00,2026-06-15 08:14:09+00:00,2026-06-15 08:57:34+00:00,7.49,1918,2605,687,0.595419105291428,142,True,428,True,53,True,1781511,1781513
1,61,2,55.806984,37.65655,2026-06-15 08:30:47+00:00,2026-06-15 08:22:09+00:00,2026-06-15 09:04:33+00:00,3.39,2026,2544,518,1.34656863276968,323,True,969,True,121,True,1781512,1781514
1,62,2,55.812597,37.645404,2026-06-15 08:30:03+00:00,2026-06-15 08:19:39+00:00,2026-06-15 09:09:02+00:00,5.05,2339,2963,624,1.804016519417891,432,True,1298,True,162,True,1781512,1781514
1,63,2,55.806446,37.674668,2026-06-15 08:35:28+00:00,2026-06-15 08:34:21+00:00,2026-06-15 08:58:53+00:00,5.2,1405,1472,67,0.8350816848263483,200,True,601,True,75,True,1781512,1781513
1,64,2,55.809296,37.693691,2026-06-15 08:35:14+00:00,2026-06-15 08:18:06+00:00,2026-06-15 09:01:24+00:00,3.4,1570,2598,1028,1.3245975687754752,317,True,953,True,119,True,1781512,1781514
1,65,2,55.820218,37.684608,2026-06-15 08:37:55+00:00,2026-06-15 08:22:29+00:00,2026-06-15 09:02:14+00:00,3.02,1459,2385,926,0.9540820911749172,228,True,686,True,85,True,1781512,1781514
1,66,2,55.812612,37.676203,2026-06-15 08:25:20+00:00,2026-06-15 08:14:50+00:00,2026-06-15 08:45:14+00:00,3.85,1194,1824,630,0.19542673334232294,46,True,140,True,17,True,1781511,1781513
1,67,2,55.835594,37.671542,2026-06-15 08:37:50+00:00,2026-06-15 08:35:00+00:00,2026-06-15 09:06:16+00:00,2.4,1706,1876,170,2.4122131448137094,578,True,1736,False,217,True,1781512,1781514
1,68,2,55.814829,37.627552,2026-06-15 08:24:24+00:00,2026-06-15 08:20:47+00:00,2026-06-15 09:06:36+00:00,6.82,2532,2749,217,2.9146591953021894,699,True,2098,True,262,True,1781511,1781514
1,69,2,55.805248,37.731419,2026-06-15 08:29:53+00:00,2026-06-15 08:28:12+00:00,2026-06-15 08:52:11+00:00,6.07,1338,1439,101,3.705391367770947,889,True,2667,False,333,True,1781512,1781513
1,70,2,55.804227,37.650623,2026-06-15 08:22:55+00:00,2026-06-15 08:15:35+00:00,2026-06-15 08:54:06+00:00,3.71,1871,2311,440,1.8262856217735655,438,True,1314,True,164,True,1781511,1781513
1,71,2,55.79652,37.677587,2026-06-15 08:30:04+00:00,2026-06-15 08:11:53+00:00,2026-06-15 09:02:40+00:00,7.66,1956,3047,1091,1.949918140753857,467,True,1403,True,175,True,1781512,1781514
1,72,2,55.809627,37.674234,2026-06-15 08:28:22+00:00,2026-06-15 08:10:01+00:00,2026-06-15 09:02:17+00:00,2.4,2035,3136,1101,0.4808200530143755,115,True,346,True,43,True,1781512,1781514
1,73,2,55.82174,37.710248,2026-06-15 08:29:10+00:00,2026-06-15 08:23:01+00:00,2026-06-15 09:02:07+00:00,23.95,1977,2346,369,2.4141433141086908,579,True,1738,True,217,True,1781512,1781514
1,74,2,55.803905,37.61536,2026-06-15 08:31:55+00:00,2026-06-15 08:22:22+00:00,2026-06-15 09:09:45+00:00,1.38,2270,2843,573,3.841279062488078,921,True,2765,False,345,True,1781512,1781514
1,75,2,55.81894,37.672087,2026-06-15 08:23:49+00:00,2026-06-15 08:09:10+00:00,2026-06-15 08:52:01+00:00,2.07,1692,2571,879,0.5699106430912306,136,True,410,True,51,True,1781511,1781513
1,76,2,55.829982,37.6687,2026-06-15 08:33:44+00:00,2026-06-15 08:18:44+00:00,2026-06-15 08:59:07+00:00,4.45,1523,2423,900,1.8151004935392916,435,True,1306,True,163,True,1781512,1781513
1,77,2,55.81464,37.667114,2026-06-15 08:29:26+00:00,2026-06-15 08:09:52+00:00,2026-06-15 08:56:46+00:00,5.46,1640,2814,1174,0.4478824664915945,107,True,322,True,40,True,1781512,1781513
1,78,2,55.790691,37.659137,2026-06-15 08:35:09+00:00,2026-06-15 08:34:25+00:00,2026-06-15 09:01:19+00:00,4.97,1570,1614,44,2.7518996424786044,660,True,1981,False,247,True,1781512,1781514
1,79,2,55.800391,37.626588,2026-06-15 08:35:50+00:00,2026-06-15 08:21:03+00:00,2026-06-15 09:14:51+00:00,4.8,2341,3228,887,3.3342133218551426,800,True,2400,False,300,True,1781512,1781514
1,80,2,55.789902,37.633013,2026-06-15 08:30:14+00:00,2026-06-15 08:16:41+00:00,2026-06-15 08:46:07+00:00,4.06,953,1766,813,3.7107296367210365,890,True,2671,False,333,True,1781512,1781513
1,81,2,55.808713,37.656806,2026-06-15 08:27:34+00:00,2026-06-15 08:10:30+00:00,2026-06-15 08:51:32+00:00,0.3,1438,2462,1024,1.2317862821108454,295,True,886,True,110,True,1781512,1781513
1,82,2,55.812103,37.695093,2026-06-15 08:23:21+00:00,2026-06-15 08:16:31+00:00,2026-06-15 08:59:52+00:00,2.0,2191,2601,410,1.322886776950158,317,True,952,True,119,True,1781511,1781513
1,83,2,55.806189,37.720251,2026-06-15 08:31:11+00:00,2026-06-15 08:11:14+00:00,2026-06-15 09:07:12+00:00,3.74,2161,3358,1197,3.0055118573386532,721,True,2163,False,270,True,1781512,1781514
